%LATITUDE (°) - tide free	LONGITUDE (°) - tide free	h (m) - tide free	Anomalia de gravidade residual (mGal)
-25.34131608	-49.52332747	867.42490000	-9.55629254
-25.31996258	-49.48134769	879.31050000	-2.83890579
-25.31541481	-49.48211902	860.21290000	-4.94395446
-25.31093480	-49.48306155	854.71990000	-5.99001799
-25.30832940	-49.48750686	848.82510000	-7.09746940
-25.30580290	-49.49219631	853.18730000	-7.74474373
-25.30366433	-49.48947480	878.23980000	-4.76264908
-25.29907315	-49.48866528	878.61930000	-4.34457768
-25.32616893	-49.54448022	886.18950000	-10.67095000
-25.32500540	-49.54964335	939.29800000	-5.70424012
-25.32805579	-49.55351649	940.21520000	-5.00057215
-25.33151461	-49.55672942	943.58640000	-4.21631416
-25.33543432	-49.55165336	948.43700000	-2.75876187
-25.33091936	-49.53901822	871.76070000	-10.28981204
-25.33246724	-49.54405911	934.19570000	-3.32730522
-25.33870606	-49.55590929	909.56940000	-7.08710494
-25.34113782	-49.56012039	933.99320000	-5.17280941
-25.34385563	-49.56495367	907.69590000	-7.49862494
-25.33930389	-49.56447926	912.53810000	-6.34792767
-25.34813075	-49.56507363	930.59220000	-4.45867436
-25.34759318	-49.58344999	945.74780000	-3.32023535
-25.34264566	-49.58469177	901.70350000	-7.62737116
-25.33987950	-49.58059244	862.54930000	-12.13273501
-25.33844162	-49.58650065	896.36730000	-8.20331722
-25.33606341	-49.59104450	909.73490000	-7.16642434
-25.33184427	-49.59314130	887.19120000	-10.15818262
-25.32773098	-49.59534034	875.79150000	-11.25455223
-25.32322150	-49.59374111	895.76210000	-9.16292799
-25.31879694	-49.59465514	854.39910000	-12.98872978
-25.34286199	-49.59089954	870.86740000	-11.06216776
-25.34372576	-49.59653530	824.52310000	-16.54482428
-25.34413151	-49.60154755	868.02460000	-11.10116009
-25.33483299	-49.56568879	896.52980000	-9.31787723
-25.33142679	-49.56918369	908.74470000	-9.14864979
-25.32918107	-49.56097834	965.07470000	-3.49213293
-25.32773013	-49.56586409	915.45820000	-9.22144077
-25.32513120	-49.56325501	941.65650000	-6.90700820
-25.32600806	-49.56963089	883.39440000	-12.89736607
-25.32196866	-49.56728568	879.93180000	-14.04921841
-25.32010363	-49.57130840	840.40970000	-17.83489424
-25.32274615	-49.55403955	921.98100000	-8.73214040
-25.31996091	-49.55780370	915.59990000	-9.84403108
-25.31606914	-49.56079252	952.81800000	-6.60912490
-25.31345278	-49.56518576	923.42060000	-9.22313840
-25.30880588	-49.56629470	874.36430000	-13.92183065
-25.30507415	-49.57039741	833.11280000	-16.13868553
-25.31240549	-49.57012106	933.89480000	-8.17696630
-25.30979602	-49.57194843	991.86340000	-1.80154063
-25.31523266	-49.55725909	958.17400000	-5.17219476
-25.31351105	-49.55224874	978.63830000	-3.39794213
-25.31634706	-49.54820413	969.78730000	-4.12820327
-25.31965870	-49.54491693	915.08020000	-9.46702697
-25.32115695	-49.54812041	946.74070000	-5.94898888
-25.30925470	-49.55361335	953.70380000	-6.12690729
-25.30662450	-49.55788682	930.85650000	-8.64386764
-25.30196255	-49.55593764	902.51510000	-11.60295516
-25.29811599	-49.55806179	853.26440000	-16.75099697
-25.30319925	-49.56143330	938.08320000	-7.53021500
-25.29894191	-49.56412657	973.98110000	-2.94530868
-25.29871802	-49.56094028	928.02400000	-8.95805955
-25.29606502	-49.56803749	925.12890000	-8.16429255
-25.29141605	-49.56734384	799.89780000	-19.90740721
-25.28696242	-49.56331006	795.65510000	-20.97358708
-25.30823406	-49.56128004	866.03890000	-15.23515772
-25.28181264	-49.56376306	752.92220000	-23.36532415
-25.28431198	-49.56807538	784.46480000	-20.65950476
-25.28786515	-49.57196363	823.77240000	-16.09052431
-25.28937531	-49.57675456	839.73870000	-14.95700010
-25.30734117	-49.53589766	888.43610000	-11.69576855
-25.30364171	-49.53895670	904.76480000	-10.33402223
-25.29996728	-49.54239057	891.10830000	-12.39976999
-25.29976168	-49.53602225	868.55350000	-14.41442917
-25.29507031	-49.53539322	827.93990000	-17.57522421
-25.29197585	-49.53233422	818.40400000	-18.44513565
-25.29045936	-49.53656451	826.95100000	-18.36559689
-25.28584698	-49.53646732	896.20820000	-9.52630157
-25.28359452	-49.54148837	886.26880000	-11.55107909
-25.28139491	-49.54722003	923.31400000	-8.11561760
-25.27848463	-49.54403218	912.34160000	-8.36115090
-25.28125940	-49.53817333	817.13920000	-17.89641540
-25.32691205	-49.52863805	890.44910000	-6.65989515
-25.32404640	-49.52449588	900.42580000	-5.19871148
-25.31953209	-49.52316901	922.88920000	-4.40703341
-25.26837283	-49.55691330	689.15620000	-28.65011907
-25.26731380	-49.55184751	675.45920000	-30.27797914
-25.26707542	-49.54687165	690.71040000	-29.18469400
-25.26610082	-49.54156489	712.20120000	-23.91207465
-25.26262739	-49.53813239	721.67540000	-24.98165044
-25.26091959	-49.53344454	720.94830000	-24.76249403
-25.26008906	-49.52870254	792.27940000	-17.74049979
-25.25708374	-49.52475408	730.17440000	-22.78197171
-25.25347872	-49.52177414	707.74070000	-24.78084680
-25.25538036	-49.52970696	823.51850000	-12.28022487
-25.25062564	-49.52830069	799.27840000	-13.02247054
-25.24597993	-49.52740369	786.33360000	-14.06866224
-25.24130641	-49.52759904	753.55980000	-17.95013929
-25.23685452	-49.52886268	685.43960000	-25.19390312
-25.23242323	-49.53046595	650.36460000	-29.66449372
-25.25332253	-49.53435112	828.97150000	-10.34016277
-25.25446369	-49.53931184	847.77200000	-7.82536620
-25.25004512	-49.54074611	810.51600000	-11.39682376
-25.24620890	-49.54359357	800.39570000	-11.89155750
-25.24151848	-49.54419349	821.99120000	-9.53708902
-25.26100388	-49.52357690	837.05550000	-12.90491378
-25.26481555	-49.52019905	878.49540000	-9.77940126
-25.26730129	-49.51384583	887.37030000	-8.48418429
-25.26679116	-49.50886110	859.27540000	-10.74057455
-25.26927478	-49.50450124	791.77460000	-15.87389309
-25.26740116	-49.49863036	739.19340000	-21.50582860
-25.26862817	-49.49428926	744.40330000	-19.84140846
-25.27162844	-49.48901458	739.36100000	-18.49034801
-25.26648609	-49.48877467	763.69020000	-16.67884308
-25.26283618	-49.48568292	766.74420000	-15.92518679
-25.25863481	-49.48364685	801.12520000	-12.43942440
-25.25465401	-49.48160263	831.64620000	-7.15641494
-25.25085684	-49.48417141	892.73320000	-4.51487844
-25.24656434	-49.48543826	921.57140000	-3.39794674
-25.24463186	-49.49026219	906.82020000	-5.10067196
-25.24244393	-49.49453183	894.03290000	-6.66056576
-25.23784021	-49.49577821	836.49780000	-12.97996835
-25.24686241	-49.49475571	937.48860000	-2.15620771
-25.27589979	-49.48673699	739.85940000	-17.98584516
-25.28041624	-49.48602760	755.76060000	-16.07167473
-25.28382582	-49.49020204	838.06870000	-9.14927542
-25.28737951	-49.48694659	788.23100000	-13.42084302
-25.29440840	-49.48902794	891.81210000	-3.08638126
-25.28325665	-49.53241454	885.02480000	-11.31243512
-25.27858132	-49.53245251	856.58290000	-14.25211984
-25.27302950	-49.53218613	791.74760000	-21.09834009
-25.26875247	-49.53310858	711.89460000	-28.71714664
-25.26522537	-49.52970040	838.63920000	-14.82302859
-25.27722947	-49.52762488	763.88300000	-24.66975048
-25.27274590	-49.52821594	760.43750000	-24.22421996
-25.27272418	-49.52307404	833.82960000	-15.80579475
-25.27180536	-49.51771991	855.46210000	-12.83492068
-25.27028402	-49.51253549	857.38670000	-10.72173425
-25.27295710	-49.50825498	908.07670000	-5.85556331
-25.27733043	-49.50652046	934.66320000	-1.93292391
-25.28012812	-49.50197919	958.32370000	2.22858131
-25.28747155	-49.53121839	902.15420000	-9.20479024
-25.28845430	-49.52624540	888.90480000	-10.61872268
-25.28386345	-49.52463195	836.69490000	-16.80019667
-25.29274723	-49.52447797	886.07240000	-9.85548490
-25.29647664	-49.52136835	904.87830000	-7.97681302
-25.29093161	-49.52001245	824.06100000	-16.72502268
-25.29931403	-49.51701450	899.60740000	-6.67685747
-25.30375360	-49.51558172	922.18860000	-3.24595222
-25.30774680	-49.51288485	983.24390000	3.77609793
-25.30292154	-49.52075314	906.52060000	-7.11025434
-25.30586038	-49.52493628	853.32070000	-14.22515702
-25.30793923	-49.52937158	893.02540000	-10.82860570
-25.31250010	-49.52983131	922.51270000	-7.06328482
-25.31444927	-49.52496935	914.74800000	-6.44368646
-25.31732028	-49.51839670	883.90250000	-7.77208655
-25.31248118	-49.51953152	881.48420000	-8.33495628
-25.31413137	-49.51484853	879.14270000	-8.04633149
-25.32685195	-49.52221582	914.66970000	-3.12908082
-25.26628304	-49.57069101	715.96880000	-24.97247662
-25.26179472	-49.57436274	708.21930000	-25.90519168
-26.22358556	-49.38965777	856.08000000	100.89027814
-26.22203458	-49.38498505	869.54000000	103.87955656
-26.21933231	-49.38069872	838.43000000	101.47809096
-26.21690945	-49.37478738	843.11000000	102.86054454
-26.21771452	-49.36935170	818.71000000	100.36419170
-26.21847439	-49.36313594	820.88000000	101.13769850
-26.21855072	-49.35479794	856.33000000	106.20709017
-26.21684733	-49.34952760	855.40000000	106.71669947
-26.21605659	-49.34513521	870.19000000	108.28166252
-26.21456660	-49.33883128	852.79000000	106.59303472
-26.21333856	-49.33256383	880.21000000	110.12615045
-26.21335561	-49.32859049	868.12000000	108.96610373
-26.21508452	-49.32434245	878.99000000	110.55310094
-26.21597780	-49.31889532	911.08000000	114.84542987
-26.21305724	-49.31309279	950.58000000	119.64702129
-26.20918515	-49.30776467	933.54000000	116.61899524
-26.20704198	-49.30438322	917.27000000	115.25975387
-26.20409511	-49.29793145	902.63000000	113.54112109
-26.20195351	-49.29317940	896.79000000	113.26621395
-26.19966295	-49.28805946	914.52000000	115.23508697
-26.19782665	-49.28395372	933.06000000	117.28912228
-26.19561688	-49.27882296	906.67000000	113.67789963
-26.19401225	-49.27373351	905.05000000	113.51117757
-26.19102679	-49.26868464	876.35000000	110.01873556
-26.18894594	-49.26530354	870.46000000	109.67134843
-26.18591229	-49.26002570	865.69000000	109.24094489
-26.18383663	-49.25634467	884.80000000	111.12986036
-26.18144880	-49.25223823	886.83000000	111.40146983
-26.17634069	-49.24344058	911.72000000	114.23801052
-26.17352382	-49.23971127	931.17000000	116.18255649
-26.17115558	-49.23429474	967.37000000	121.05047962
-26.16767949	-49.22909525	942.75000000	117.41907443
-26.16511254	-49.22443247	932.03000000	116.55339924
-26.16212287	-49.22063658	883.95000000	111.41973628
-26.15746261	-49.21971705	874.79000000	109.64825154
-26.15317968	-49.21938198	868.02000000	108.84278220
-26.14894036	-49.21673582	873.58000000	108.96687660
-26.14534518	-49.21581031	883.23000000	109.46318951
-26.14096778	-49.21513679	896.60000000	111.07494026
-26.13653200	-49.21412416	931.65000000	114.12917958
-26.13498151	-49.21138756	938.63000000	114.58905528
-26.13373660	-49.20854636	896.22000000	109.66151607
-26.13387952	-49.20552401	870.39000000	107.81098086
-26.13292599	-49.20361849	863.73000000	106.97263383
-26.13053666	-49.19950493	849.95000000	105.32745520
-26.12747794	-49.19745184	867.20000000	106.42986363
-26.12598081	-49.19467486	882.81000000	108.49644020
