%LATITUDE (°) - tide free	LONGITUDE (°) - tide free	Anomalia refinada de Bouguer (mGal) - zero tide
-25.30823406	-49.56128004	-58.40048722
-25.28181264	-49.56376306	-54.20545164
-25.28431198	-49.56807538	-55.01856577
-25.28786515	-49.57196363	-54.82555262
-25.28937531	-49.57675456	-55.49175709
-25.30734117	-49.53589766	-57.29534820
-25.30364171	-49.53895670	-57.81053187
-25.29996728	-49.54239057	-58.40136611
-25.29976168	-49.53602225	-57.89048069
-25.29507031	-49.53539322	-56.57276329
-25.29197585	-49.53233422	-56.41819750
-25.29045936	-49.53656451	-57.31300567
-25.28584698	-49.53646732	-56.27484327
-25.28359452	-49.54148837	-57.21859791
-25.28139491	-49.54722003	-57.95815907
-25.27848463	-49.54403218	-57.00897518
-25.28125940	-49.53817333	-55.86602382
-25.32691205	-49.52863805	-52.22069785
-25.32404640	-49.52449588	-51.91238137
-25.31953209	-49.52316901	-53.69411400
-25.26837283	-49.55691330	-52.49365913
-25.26731380	-49.55184751	-52.59223049
-25.26707542	-49.54687165	-53.20118860
-25.26610082	-49.54156489	-50.34161138
-25.26262739	-49.53813239	-52.51606960
-25.26091959	-49.53344454	-52.24335494
-25.26008906	-49.52870254	-53.21773149
-25.25708374	-49.52475408	-51.36704181
-25.25347872	-49.52177414	-50.91691385
-25.25538036	-49.52970696	-51.30762211
-25.25062564	-49.52830069	-49.40544573
-25.24597993	-49.52740369	-49.06713919
-25.24130641	-49.52759904	-49.34365125
-25.23685452	-49.52886268	-49.02319351
-25.23242323	-49.53046595	-49.62245153
-25.25332253	-49.53435112	-49.99170911
-25.25446369	-49.53931184	-49.55641909
-25.25004512	-49.54074611	-49.01597010
-25.24620890	-49.54359357	-48.42294664
-25.24151848	-49.54419349	-48.53878593
-25.26100388	-49.52357690	-53.39005192
-25.26481555	-49.52019905	-54.85879164
-25.26730129	-49.51384583	-54.54846281
-25.26679116	-49.50886110	-53.69866574
-25.26927478	-49.50450124	-51.27699936
-25.26740116	-49.49863036	-51.09847605
-25.26862817	-49.49428926	-50.03223936
-25.27162844	-49.48901458	-48.11812032
-25.26648609	-49.48877467	-49.10513603
-25.26283618	-49.48568292	-48.77546662
-25.25863481	-49.48364685	-49.21631167
-25.25465401	-49.48160263	-47.42618184
-25.25085684	-49.48417141	-51.64115056
-25.24656434	-49.48543826	-53.79760977
-25.24463186	-49.49026219	-53.83083504
-25.24244393	-49.49453183	-53.95336854
-25.23784021	-49.49577821	-53.89447095
-25.24686241	-49.49475571	-54.24088356
-25.27589979	-49.48673699	-47.62651146
-25.28041624	-49.48602760	-47.42800195
-25.28382582	-49.49020204	-49.61901492
-25.28737951	-49.48694659	-48.29382847
-25.29440840	-49.48902794	-49.41325004
-25.28325665	-49.53241454	-56.84605410
-25.27858132	-49.53245251	-56.66789857
-25.27302950	-49.53218613	-56.34044550
-25.26875247	-49.53310858	-55.08656773
-25.26522537	-49.52970040	-55.41221087
-25.27722947	-49.52762488	-56.74932674
-25.27274590	-49.52821594	-55.97688659
-25.27272418	-49.52307404	-55.77593665
-25.27180536	-49.51771991	-55.25381830
-25.27028402	-49.51253549	-53.40030218
-25.27295710	-49.50825498	-54.18514048
-25.27733043	-49.50652046	-53.18134949
-25.28012812	-49.50197919	-51.65142903
-25.28747155	-49.53121839	-56.59946415
-25.28845430	-49.52624540	-56.52595367
-25.28386345	-49.52463195	-56.93675759
-25.29274723	-49.52447797	-55.39095040
-25.29647664	-49.52136835	-55.56904324
-25.29093161	-49.52001245	-55.36337983
-25.29931403	-49.51701450	-53.65195099
-25.30375360	-49.51558172	-52.68767058
-25.30774680	-49.51288485	-52.44068703
-25.30292154	-49.52075314	-54.79872631
-25.30586038	-49.52493628	-55.92125898
-25.30793923	-49.52937158	-56.93100308
-25.31250010	-49.52983131	-56.40116857
-25.31444927	-49.52496935	-54.88917596
-25.31732028	-49.51839670	-52.73770844
-25.31248118	-49.51953152	-53.09578350
-25.31413137	-49.51484853	-52.53258937
-25.32685195	-49.52221582	-51.39795555
-25.26628304	-49.57069101	-51.88633065
-25.26179472	-49.57436274	-52.01814990
-26.22358556	-49.38965777	31.36617206
-26.22203458	-49.38498505	32.81685934
-26.21933231	-49.38069872	33.96435333
-26.21690945	-49.37478738	34.81092030
-26.21771452	-49.36935170	34.77350078
-26.21847439	-49.36313594	35.00533722
-26.21855072	-49.35479794	35.78296982
-26.21684733	-49.34952760	36.32900749
-26.21605659	-49.34513521	36.13046053
-26.21456660	-49.33883128	36.25260014
-26.21333856	-49.33256383	36.56008939
-26.21335561	-49.32859049	36.58186992
-26.21508452	-49.32434245	36.62609412
-26.21597780	-49.31889532	37.01837010
-26.21305724	-49.31309279	37.39239446
-26.20918515	-49.30776467	36.35250274
-26.20704198	-49.30438322	36.83613440
-26.20409511	-49.29793145	36.70105354
-26.20195351	-49.29317940	37.03467152
-26.19966295	-49.28805946	36.96819764
-26.19782665	-49.28395372	36.90580995
-26.19561688	-49.27882296	36.17805184
-26.19401225	-49.27373351	36.07509949
-26.19102679	-49.26868464	35.78546523
-26.18894594	-49.26530354	36.09730176
-26.18591229	-49.26002570	36.18213239
-26.18383663	-49.25634467	35.91568133
-26.18144880	-49.25223823	35.94333842
-26.17634069	-49.24344058	35.95216447
-26.17352382	-49.23971127	35.75287003
-26.17115558	-49.23429474	36.47513929
-26.16767949	-49.22909525	35.59322462
-26.16511254	-49.22443247	35.87554429
-26.16212287	-49.22063658	36.14444723
-26.15746261	-49.21971705	35.71433336
-26.15317968	-49.21938198	35.98448596
-26.14894036	-49.21673582	35.67295005
-26.14534518	-49.21581031	35.31926436
-26.14096778	-49.21513679	35.74027384
-26.13653200	-49.21412416	35.16304054
-26.13498151	-49.21138756	34.80785761
-26.13373660	-49.20854636	34.55359117
-26.13387952	-49.20552401	35.40625805
-26.13292599	-49.20361849	35.27579711
-26.13053666	-49.19950493	35.11647829
-26.12747794	-49.19745184	34.40421841
-26.12598081	-49.19467486	34.67768412
-26.12347280	-49.19479341	34.22461324
-26.12077501	-49.19489488	34.07837361
-26.11896309	-49.19293287	34.20971703
-26.11937083	-49.19017679	34.00948098
-26.11891448	-49.18762402	33.28548374
-26.11955169	-49.18374446	33.17381080
-26.11897191	-49.18000371	33.23052726
-26.11699470	-49.17926442	32.85172421
-26.11415619	-49.17822855	32.81333227
-26.11143687	-49.17591105	32.87357596
-26.11031901	-49.17388872	33.37868591
-26.10970757	-49.17122864	33.12062833
-26.10707895	-49.17179946	32.02232566
-26.10437203	-49.17260141	31.97600946
-26.10151999	-49.17192592	33.67249281
-26.09714565	-49.17079426	32.96893190
-26.09319996	-49.16787654	32.49255106
-26.09381605	-49.16237857	34.99719548
-26.09361405	-49.15857287	34.32043397
-26.09419176	-49.15433508	33.81575614
-26.09205978	-49.14997993	33.86068460
-26.72608156	-49.48457942	-41.67423066
-26.73393443	-49.47854936	-42.54256670
-26.74436465	-49.47809814	-40.94369262
-26.75279407	-49.47338928	-39.07127511
-26.75791656	-49.46472628	-38.79669410
-26.75838422	-49.45459932	-38.28590819
-26.76095071	-49.44447961	-38.58696377
-26.76741750	-49.43690905	-37.08229905
-26.77399985	-49.42852455	-37.40130380
-26.78199780	-49.42463882	-37.09028194
-26.71715656	-49.48551810	-41.23627652
-26.72125682	-49.49491195	-44.08581525
-26.72500704	-49.50399560	-45.08654634
-26.73124669	-49.51241771	-45.72305503
-26.73803251	-49.51906959	-45.86327921
-26.74560286	-49.52524374	-46.17438338
-26.74962396	-49.53425902	-47.08768172
-26.74651140	-49.54417079	-48.89461049
-26.74397813	-49.55393768	-50.66668940
-26.74325732	-49.56431722	-50.33521404
-26.74376597	-49.57527104	-51.57259671
-26.74999578	-49.58297013	-52.66373064
-26.75281600	-49.59313192	-53.68184959
-26.75383076	-49.60353351	-55.31640731
-26.75032140	-49.61293072	-55.71365871
-26.74959929	-49.62286171	-57.49294780
-26.74845948	-49.63276133	-58.70157689
-26.74782572	-49.64329472	-60.46051657
-26.74232169	-49.65164449	-62.66480055
-26.74163989	-49.66196387	-63.90017296
-26.70795452	-49.48758044	-43.04765821
-26.69928432	-49.49243207	-46.21584815
-26.69560284	-49.50216492	-47.45049082
-26.69525517	-49.51284126	-49.32394955
-26.68791361	-49.51975183	-51.67565816
-26.67889242	-49.51973940	-50.66770292
-26.66780717	-49.51952932	-50.92993769
-26.65906602	-49.52228384	-52.31172063
-26.65131245	-49.51603597	-49.35547549
-26.64290594	-49.51086602	-49.88024512
-26.76104121	-49.47831518	-41.09751757
-26.76646589	-49.48683204	-41.87633023
-26.76740143	-49.49766908	-42.35026834
-26.77350382	-49.50592022	-43.88149341
-26.77892909	-49.51379193	-45.47870964
-26.78667223	-49.51943740	-46.07613113
-26.79251236	-49.52685195	-46.79429507
-26.79702280	-49.53785490	-46.57846847
-26.80541106	-49.53929586	-47.07137464
-26.81437591	-49.53985505	-47.94189191
-26.77886951	-49.43682099	-37.47214434
-26.78181652	-49.44629064	-38.18749844
-26.78897808	-49.45238516	-38.70054499
-26.79250629	-49.46176404	-39.95585266
-26.80107184	-49.46516332	-40.08076798
-26.80728384	-49.47280323	-40.25686800
-26.81186886	-49.48150896	-39.23283203
-26.80562140	-49.48309066	-41.05137814
-26.80403980	-49.49288947	-40.58404111
-26.71259559	-49.47847679	-42.71099647
-26.72265217	-49.47728924	-41.38775173
-26.72831991	-49.46934730	-41.75385162
-26.73634590	-49.46461937	-40.26910580
-26.74523342	-49.46284618	-39.69936350
-26.75282680	-49.45705240	-38.04728767
-26.75150138	-49.44605929	-36.58958533
-26.74313746	-49.44169845	-36.17852763
-26.73208860	-49.44344276	-37.95091878
-26.72877255	-49.45269131	-39.68847306
-26.73074518	-49.42490668	-34.26874356
-26.73066534	-49.41475168	-33.15037948
-26.72082768	-49.40385963	-35.94858993
-26.70747735	-49.39981771	-36.26628611
-26.69639685	-49.40075872	-34.66819068
-26.69717223	-49.40983268	-31.38705043
-26.71860071	-49.42131559	-34.73601514
-26.70687469	-49.42761786	-35.94799804
-26.69293520	-49.42908433	-35.45739756
-26.68260738	-49.42870608	-40.45635690
-26.68775774	-49.42068130	-36.91354643
-26.68465855	-49.41501182	-37.72121610
-26.67966714	-49.41622522	-38.70493917
-26.67587863	-49.42562735	-39.63596308
-26.66710155	-49.42479229	-38.16131527
-26.67702650	-49.40586926	-38.48020600
-26.67013233	-49.39843674	-38.52461129
