lat,lon,H_zerotide_m,dg_helmert_mgal,dg_goco_mgal,dg_indirect_mgal,dg_residual_planilha_mgal,dg_res_calc_mgal,erro_mgal
-25.62817465,-49.06945611,947.3457,59.568736265315266,37.4362,-0.0014,22.132536265315267,22.133936265315267,0.00140000000000029
-25.68407128,-48.99174916,790.9439000000001,64.80667987642147,30.3478,-0.0025,34.45887987642147,34.46137987642147,0.0024999999999977263
-25.6812932,-49.06006778,933.2274,67.19242267529206,36.0673,-0.0011,31.12512267529206,31.126222675292063,0.001100000000000989
-25.76197636,-49.02544418,915.2510000000001,74.66423998585152,31.5764,-0.0021,43.087839985851524,43.08993998585152,0.0020999999999986585
-25.80388009,-48.87680046,340.0671,-9.29440078711189,17.8478,-0.001,-27.14220078711189,-27.141200787111888,0.0010000000000012221
-25.63876166,-48.92078145,846.459,61.76435905376628,24.8163,-0.0021,36.94805905376628,36.95015905376628,0.0020999999999986585
-25.5146579,-48.9913056,993.4261,75.20061253193643,31.4245,-0.0016,43.776112531936434,43.77771253193644,0.0016000000000033765
-25.9701951877234,-48.594464748499,7.27,2.5860964457145794,-4.473,-0.0012,7.059096445714579,7.060296445714579,0.0011999999999998678
-25.966009140693,-48.5934716703427,5.66,2.247631282214674,-4.4444,-0.0024,6.692031282214674,6.694431282214674,0.0023999999999997357
-25.9613868831178,-48.5922978452606,4.06,1.6513623698279145,-4.4169,-0.0009,6.068262369827915,6.0691623698279145,0.0008999999999996788
-25.9570926154318,-48.5907680071251,1.99,0.8955227148966635,-4.4092,-0.0014,5.304722714896664,5.306122714896664,0.00140000000000029
-25.9525806480712,-48.5891728254035,0.62,0.5828141481021852,-4.4019,-0.0018,4.984714148102186,4.986514148102186,0.0018000000000002458
-25.948495192487,-48.5877187911249,2.46,1.8089474134153591,-4.3969,-0.0014,6.205847413415359,6.2072474134153595,0.00140000000000029
-25.9437742022161,-48.5860382417864,1.65,1.599823842732506,-4.3924,-0.0013,5.992223842732506,5.993523842732506,0.0012999999999996348
-25.9396888923735,-48.5845943787767,1.31,1.4803304013246803,-4.3893,-0.0027,5.869630401324681,5.872330401324681,0.0026999999999999247
-25.9358643746757,-48.5830953735088,1.65,1.3820168319310788,-4.3931,-0.0013,5.775116831931078,5.776416831931078,0.0012999999999996348
-25.9312372568031,-48.5810938421855,2.17,1.6100832134639236,-4.4062,-0.0012,6.0162832134639235,6.017483213463923,0.0011999999999998678
-25.9268192900374,-48.5791879834093,0.54,0.7618374225795052,-4.4199,-0.0006,5.181737422579506,5.182337422579506,0.000600000000000378
